Abstract Number,DOI,Title,Abstract,Battery_Type,Recycling_Process_Used,Process_Conditions/Battery_Properties,Recovered_Materials (from abstract),Final Max Temperature
1,10.1016/j.hydromet.2008.04.012,Leaching of waste battery paste components. Part 1: Lead citrate synthesis from PbO and PbO2,"In this study, as part of developing a new process which can avoid smelting and electro-winning, citric acid based reagents in aqueous media were reacted with PbO and PbO2. These two oxides are important components in the spent lead-acid battery paste and together account for up to 50% of the paste by weight. PbSO4, the main component in a spent battery paste accounting for the remaining 50%, is dealt with in Part 2 in a separate paper. Reaction between PbO and C6H8O7Â·H2O or PbO2 with a mixture of C6H8O7Â·H2O and H2O2 yielded lead citrate, Pb(C6H6O7)Â·H2O, which was characterised by XRD, SEM and FT-IR analysis. Optimal synthesis conditions were determined by investigating the effect of time, temperature, concentration, and the starting Pb oxide/water ratio. The optimal condition for leaching a mol of PbO at room temperature (20 Â°C) was found to be: 1 mol of (C6H8O7)Â·H2O solution; 1/3 as the starting PbO/water ratio and 15 min of reaction time. Pure citrate product, Pb(C6H6O7)Â·H2O was rapidly crystallized from the solution, in the leaching process. Leaching of PbO2 required the use of a mild reducing agent. For each mole of PbO2, the optimum condition at 20 Â°C was found to be: a solution containing 4 mol of C6H8O7Â·H2O and 2 mol of H2O2; 1/5 as the starting solid PbO2/water ratio; and 60 min of reaction time. The product, as with PbO, was pure Pb(C6H6O7)Â·H2O compound. The remaining lead content of the filtrate solution was 0.017% and 1% corresponding to recoveries of 99.98% and 99% of lead as citrate, after the leaching/crystallization/filtration process with PbO and PbO2, respectively. Asymmetric stretching vibrations between 1599 and 1662 cmâˆ’1, whereas symmetric vibrations between 1520 and 1327 cmâˆ’1 for lead citrate synthesised from PbO and asymmetric stretching vibrations between 1600 and 1642 cmâˆ’1 as well as symmetric vibrations between 1517 and 1326 cmâˆ’1 for the product obtained from PbO2 revealed the strong IR adsorptions associated with a carboxylate structure. XRD data was identical to the well documented crystalline Pb(C6H6O7)Â·H2O compound from both the oxides. SEM revealed the formation of plate/sheet like morphologies. The difference in the column size of the Pb(C6H6O7)Â·H2O formed from the two lead oxides can be related to difference in the rate of the respective reactions.",Lead Acid Battery,"XRD, SEM and FT-IR analysis, leaching, crystallization, filtration","20 °C, reaction time: 15 min","Lead Citrate, Pb(C6H6O7)·H2O",20
2,10.1016/j.ceja.2023.100582,Recovery of NixMnyCoz(OH)2 and Li2CO3 from spent Li-ionB cathode leachates using non-Na precipitant-based chemical precipitation for sustainable recycling,"The interest in recycling spent lithium-ion batteries (Li-ionB) has surged due to the rising demand for valuable metals (e.g., Co, Ni, Li and Mn) and concerns about environmental repercussions emanating from conventional battery waste disposal. Conventional precipitation-based hydrometallurgy recycling processes utilise Na-based or metal-based precipitants. The Na, from Na-based precipitants, is present in high concentrations in the process effluent since they are not recovered during the recycling process. The Na-rich effluent cannot be discarded since it doesn't meet environmental regulations as per the U.S. Environmental Protection Agency (EPA) (2023) therefore creating a storage and disposal problem. It is therefore imperative to utilise non-Na-based precipitants to eliminate the effluent disposal problem. This paper focuses on the recovery of NixCoyMnz(OH)2 and Li2CO3, main precursors for Li-ionB cathode production, from a typical spent Li-ionB cathode (NMC 532) using non-Na precipitant-based chemical precipitation. This study reports NixCoyMnz(OH)2 and Li2CO3 recovery from spent Li-ionBs for closed-loop Li-ionB cathode recycling through an integrated hydrometallurgy and chemical precipitation process. Through the utilisation of leachate solutions comprising 2 M H2SO4 + 6 vol.% H2O2, and a 75 g/L S/L ratio and conducting leaching for 120 min at a temperature of 60 Â°C and IS of 350 rpm, the recovery efficiency of 98.1 % for Li, 97.1 % for Co, 96.1 % for Ni, and 95.7 % for Mn. The pH of the NMC leachate was initially adjusted to 5 to precipitate Fe, Al and Cu impurities. Thereafter, active metal species (Ni, Mn and Co) were precipitated at a pH of 13 as Ni0.5Co0.2Mn0.3(OH)2 composite microparticles by adding LiOH precipitant. Thereafter, the Li-rich resultant liquor was further used to recover the Li by adding 3.4 mol of CO2 bubbled at 0.068 mol (CO2)/L.min and 40 Â°C for 45 min. The Li2CO3 precipitates were separated from the suspension through filtration followed by washing using deionised water and hot air drying. The reaction time is 45 mins, and the agitation speed is 150 rpm. Through this multi-stage precipitation process, >98 % of Ni, Co, Mn and > 91 % of Li can be recovered in the form of Ni0.5Mn0.3Co0.2(OH)2 and Li2CO3 respectively. The process exhibits great potential for recovery of valuable materials from spent Li-ionBs. The recovered Ni0.5Co0.2Mn0.3(OH)2 and Li2CO3 materials will be used as precursors in the anhydrous NMC cathode production process.",Lithium-ion batteries (LIBs),Precipitation-based hydrometallurgy,"60 °C, reaction time: 120 min, 350 rpm IS","NixCoyMnz(OH)2, Li2CO3",60
3,10.1016/j.cej.2021.132703,A promising regeneration of waste carbon residue from spent Lithium-ion batteries via low-temperature fluorination roasting and water leaching,"Recycling and reusing the Waste carbon residue (WCR) from spent lithium-ion batteries has substantial significance in environmental protection and economic growth. Nevertheless, research on the regeneration of WCR was seldom reported. Herein, a new environmentally friendly process of low-temperature fluorination roasting and water leaching technology were proposed to achieve optimal purification of WCR. And the transformation mechanism of water-soluble complex ions during fluorination roasting was investigated via DFTB indicating that the ionic bond of F and NH4 group in NH4F broken than form stable covalent bond with metal ions. This process showed that 99.59%, 99.54%, 99.82%, 96.38%, 98.41%, 97.28%, 99.23%, and 98.61% of cobalt, nickel, manganese, aluminum, silicon, iron, lithium, and sulfur in WCR could be removed under optimal conditions. Meanwhile, the high-Purity graphite carbon (PGC) products with purity of 99.98% were obtained. In particular, PGC in half-cell exhibited a stable specific capacity of 340.9 mAh/g and high ICE of 92.13%, and with a more than 96% capacity retention after 100 cycles at 1C, much better performance than WCR and similarly to commercial graphite. Moreover, the discharge capacity of PGC in full-cell was 2302.82 mAh at 0.2C rate with 87.3% ICE. The capacity retention maintained at 96% after 400 cycles at 1C/1C rate. Subsequently, the valuable components in leaching solution were recovered with ammonia as precipitant. The precipitation rates of Al, Co, Mn, Ni, and Si were 99.25%, 81.74%, 98.20%, 62.43% and 86.68%, respectively. Besides, exhaust gas was absorbed in fluorine-containing leachate for recovery of ammonium fluoride products by evaporation crystallization. This proposed process with circular economy and green chemistry characteristics is expected to be employed in the regeneration of WCR while recovering valuable components.",Lithium-ion batteries (LIBs),"low-temperature fluorination roasting, water leaching technology, evaporation crystallization","Half-cell: 340.9 mAh/g, 92.13% ICE, Full-cell: 2302.82 mAh, 0.2C rate, 87.3% ICE","Al, Co, Mn, Ni, Si, high-Purity graphite carbon (PGC), ammonium fluoride",
4,10.1016/j.jclepro.2024.140798,Sustainable regeneration of high-performance cathode materials from spent lithium-ion batteries through magnetic separation and coprecipitation,"Extensive research and application of recycling methods for spent lithium-ion batteries (LIBs) have been undertaken in recent years with great success. However, the separation of valuable metals from the lixivium of spent LIBs, which contains Al, Cu, Ni, Co, Mn, and Li, is complicated, burdensome, and unsustainable. Therefore, there is a need to establish a more sustainable and energy-efficient method for recycling spent LIBs. The study introduced an innovative methodology for replacing the impurity ion removal process in the lixivium with magnetic separation pretreatment. Then, the co-precipitation method was used to directly resynthesize LiNi0.5Co0.2Mn0.3O2 (LNCM523) with recovered metals as raw materials. The results demonstrate that, with a magnetic field intensity of 3000 Oe and feed particle size of âˆ’0.074 mm, the magnetic separation concentrates the following grades: Ni-26.34%, Co-14.26%, Mn-28.30%, Al-0.23%, and Cu-0.41%. The corresponding recovery rates were also determined as follows: Ni-92.57%, Co-94.16%, Mn-85.68%, Al-1.62%, and Cu-2.14%. The total impurities (Al, Cu, and Fe) in the lixivium obtained by magnetic separation concentrate under conventional acid leaching conditions were below 0.05 wt%, while the contents of Ni, Co, and Mn were measured at 13.08 g/L, 7.10 g/L, and 14.06 g/L, respectively. Spherical LNCM523 was successfully regenerated from the lixivium through co-precipitation and sintering. The LNCM523 demonstrated exceptional electrochemical performance, exhibiting a notable initial discharge capacity of 173.9 mAh/g at 0.2 C and remarkable cycling stability with 91.9% retention over 100 cycles at 0.5 C. In comparison to the conventional approach, this method circumvented the intricate procedure of separating metal ions, thereby realizing the resource regeneration of cathode materials and enabling a closed-circuit recycling process. These advancements contributed to fostering sustainable low-carbon development of the spent LIBs.",Lithium-ion batteries (LIBs),"magnetic separation pretreatment, co-precipitation","magnetic field intensity: 3000 Oe, feed particle size: 0.074 mm"," Al, Cu, Ni, Co, Mn, Li, LiNi0.5Co0.2Mn0.3O2 (LNCM523)",
5,10.1016/j.rineng.2024.102802,Optimization of high-temperature thermal pretreatment conditions for maximum enrichment of lithium and cobalt from spent lithium-ion polymer batteries,"Due to their increasingly high demand, lithium-ion batteries (LIBs) will encounter a scarcity of essential resources if recycling is not prioritized. The current pretreatment methods for spent LIBs used in industrial production are inefficient, costly, and hazardous. The study aimed to maximize the yield of lithium and cobalt from the black mass of spent Lithium-ion batteries through an optimized high-temperature thermal pretreatment process, which combined mechanical (direct crushing) and thermal treatments to facilitate the subsequent recovery of these valuable metals. Sieve analysis showed that direct crushing for 2 min resulted in 40.81 % of the anode material in the 4750 + 2500 Î¼m size range, while 5 min of crushing led to a more even distribution, with 28.57 % in the smallest size range (âˆ’75 Î¼m). Heat treatment followed by 2 min of crushing concentrated 52.38 % of the anode material in the 4750 + 2500 Î¼m range. For the cathode material, 2 min of direct crushing distributed 24.49 % in the âˆ’2500 + 1250 Î¼m range, while 5 min of crushing accumulated 38.80 % in the âˆ’75 Î¼m range. Heat treatment and 2 min of crushing resulted in 56.05 % of the cathode material in the âˆ’75 Î¼m range, indicating improved liberation. The combination of heat treatment and mechanical treatment effectively liberates and reduces the size of the active materials, resulting in a higher cumulative mass fraction of finer particles (â‰¤630 Î¼m). Heat treatment at 600 Â°C for 15 min, followed by 2 min of crushing, dissociated current collectors (Al) from the cathode material, minimized the harmful gas emissions and produced fine particles (630 Î¼m) with minimal Al content (0.8 wt%). The optimal heat treatment condition of 600 Â°C for 35 min achieved complete decomposition of PVDF and enriched 73.49 wt% cobalt and 5.41 wt% lithium in the black mass, superior to previous studies.",Lithium-ion batteries (LIBs),"optimized high-temperature thermal pretreatment , mechanical (direct crushing), thermal treatment","600 °C for 35 min, 2 min: crushing","lithium, cobalt ",600
6,10.1016/j.cep.2021.108507,Process intensification for valuable metals leaching from spent NiMH batteries,"Acid leaching is an essential unit in hydrometallurgy, yet it is time consuming and requires concentrated acids. Process intensification is examined for the leaching of valuable and rare earth elements (REEs), such as Ni, Co, La, Nd, and Ce, from spent nickel metal hydride (NiMH) batteries using subcritical water extraction (SWE) and microwave-assisted extraction (MAE). Results of SWE revealed that HCl performed better than H2SO4 and HNO3. Leaching efficiency increased as reaction temperature increased from 100 to 150Â°C, and it increased with HCl concentration. SWE was very effective using 0.5 N HCl, solid concentration of 20 g/L, initial pressure of 9.8 bar, 100Â°C for 5 min, and leaching efficiency of 99.85% for Ni, 91.72% for Co, 96.26% for La, 85.75% for Nd, and 84.37% for Ce was found, and the total energy consumption was 2,640 kJ. Leaching efficiency of MAE using 0.5 N HCl decreased slightly when heating rate increased from 30 to 70Â°C/min, and it increased as reaction time increased from 5 to 30 min. Compared with SWE and conventional leaching, MAE was the most energy-efficient, and total of 874.1 kJ was required to reach 85.93% for Ni, 77.60% for Co, 64.04% for La, 75.01% for Nd, and 57.17% for Ce, respectively under experimental conditions of 1 N of HCl, solid concentration of 20 g/L, 100Â°C for 5 min. Novel acid leaching methods showed promising potential for metals recovery from e-waste.",nickel metal hydride (NiMH) batteries,"subcritical water extraction (SWE), microwave-assisted extraction (MAE)","0.5 N HCl, solid concentration: 20 g/L, initial pressure: 9.8 bar, 100°C-150°C for 5 min","Ni, Co, La, Nd, Ce",150
7,10.1016/j.jece.2024.113521,Recovery of valuable metal elements from spent lithium-ion battery via a low temperature ammonium persulfate roasting approach,"A low-cost and eco-friendly recycling method is crucial for recovering valuable elements from end-of-life lithium-ion batteries (LIBs), which plays a vital role in addressing resource scarcity and reducing the environmental impact. This study aims to develop a low-temperature pyro-metallurgical combined process to recycle spent LiNi0.5Co0.2Mn0.3O2 (NCM523). Unlike traditional pyrometallurgy methods that generate liquid alloys and slags at temperatures exceeding 1000 Â°C, the (NH4)2S2O8 roasting approach operates at 350 Â°C and converts NCM523 to water-soluble sulfates, exhibiting remarkable leaching efficiencies of Li, Ni, Co, and Mn, with values of 99.43â€¯%, 99.87â€¯%, 98.88â€¯%, and 99.19â€¯%, respectively. Systematic studies were conducted to investigate the influence of roasting temperature, (NH4)2S2O8-to-NCM mass ratio, and roasting time on the sulfation process. Furthermore, the mechanism of sulfation reaction was identified by combining experiments with thermodynamic calculation. At temperatures above 160 Â°C, (NH4)2S2O8 decomposes into (NH4)2S2O7, which reacts with NCM. Lithium in a layered structure forms Li2SO4, while transition elements form MnSO4, Li2Co (SO4)2, and NiSO4. At around 350 Â°C, (NH4)2S2O8 further decomposes into NH4HSO4, releasing SO2 and NH3. SO2 reacts with remaining NCM or unsulfated transition metal oxides, converting them into MnSO4, Li2Co (SO4)2, and NiSO4. Above 800 Â°C, the metal sulfates decompose into stable oxides. This study presents a low-temperature sulfation method that effectively disintegrates the crystal structure of lithium metal oxides without the need for acids or reducing agents.",Lithium-ion batteries (LIBs),low-temperature pyro-metallurgical combined process,350 °C,"water-soluble sulfates, NH4HSO4",350
8,10.1016/j.seppur.2023.123156,Recycling lead from waste lead-acid batteries by the combination of low temperature alkaline and bath smelting,"Recycling lead from waste lead-acid batteries has substantial significance in environmental protection and economic growth. Bearing the merits of easy operation and large capacity, pyrometallurgy methods are mostly used for the regeneration of waste lead-acid battery (LABs). However, these processes are generally operated at the temperature higher than 1300 Â°C. To shorten the energy consumption, a novel pyrometallurgy process which consisted of low temperature alkaline and bath smelting was proposed in this work. The reduction of lead and smelting of slag system are the key factors determine the energy consumption. Thermodynamic calculation suggested that the addition of Na2CO3 can make the reduction of PbSO4 spontaneously at the temperature higher than 288 Â°C (PbSO4 â†’ PbCO3 â†’ PbO â†’ Pb), while direct reduction of PbSO4 necessitated the temperature higher than 1499 Â°C (PbSO4 â†’ PbO â†’ Pb). To achieve the efficient reduction of PbSO4, the molar ratios of C/PbSO4 and Na2CO3/PbSO4 should be higher than 0.5 and 1.0, respectively. Meanwhile, a new smelting system (i.e., FeO-SiO2-CaO-Na2O) was established in the presence of Na2CO3. Phases with low melting temperatures, such as NaFe2O3, Na2FeSiO4, Na2Ca2Si2O7, Na14Fe6O16 and Na0.5FeO2, were formed. The melting temperature of Fe-Si-Ca-Na system was lowered to 1050 Â°C at the mass dosage of Na2CO3 at 30%. Recovery of lead under various reduction conditions were systematically evaluated. Under optimum operational conditions, i.e., the dosages of C and Na2CO3 at 10% and m(actual)/m(theory) ratio of 1.3 (all in mass), smelting temperature of 1050 Â°C, and smelting time of 75 min, respectively, the lead recovery efficiency reached >98.0%. Moreover, this method has been successfully applied for the industrial recovery of lead at the scale of 200, 000 tons annually since 2019. Taken together, this method is robust for recovery of lead from the waste LABs and is helpful for building the resource-conserving society.",Lead Acid Battery,low temperature alkaline and bath smelting,"1050 °C, smelting time: 75 min ",lead,1050
9,10.1016/j.jpowsour.2014.03.006,Recycling of the anode from spent Ni-MH batteries for synthesis of the lanthanide oxysulfide/oxysulfate compounds used in an oxygen storage and release system,"In this work, lanthanide oxysulfide/oxysulfate compounds, denominated as an oxygen storage and release system, have been synthesized from the anode electrodes of spent Ni-MH batteries. The rare earth metals have recovered by means of chemical precipitation as a mixture of La2(SO4)3, Ce2(SO4)3, and Nd2(SO4)3. The synthesis of (LaÂ·Nd)O2SÂ·CeO2 have been carried out by subjecting a mixture of La2(SO4)3, Ce2(SO4)3, and Nd2(SO4)3 to a heat treatment in a reducing atmosphere up to 1000 Â°C. The (LaÂ·Nd)O2SO4Â·CeO2 compounds have been obtained after thermal treatment of (LaÂ·Nd)O2SÂ·CeO2 in a synthetic air atmosphere. The oxysulfide/oxysulfate compounds have been subjected to thermal cycles, respectively, in synthetic air as well as in an N2â€“CO atmosphere. The thermogravimetric plot (TG) for (LaÂ·Nd)2O2SÂ·CeO2 shows a mass gain of 14.98% w/w in a temperature range of 300â€“550 Â°C, which is due to the oxidation of (LaÂ·Nd)2O2SÂ·CeO2 to (LaÂ·Nd)2O2SO4CeO2, where 2 mol of O2 are added. Likewise, in the (LaÂ·Nd)2O2SO4CeO2 thermogravimetric plot, a mass loss of 17.16% w/w is observed in the range of 500â€“750 Â°C. This loss of mass can be associated with output of 2 mol of O2 forming again the (LaÂ·Nd)2O2SÂ·CeO2. The transformation of the (LaÂ·Nd)2Â·O2SÂ·CeO2 to (LaÂ·Nd)2O2SO4CeO2 causes an increase in the macropores.",nickel metal hydride (NiMH) batteries,"chemical precipitation, thermal treatment",1000 °C,rare earth metals,1000
10,10.1016/j.jenvman.2023.118205,Removal of polyvinylidene fluoride binder and other organics for enhancing the leaching efficiency of lithium and cobalt from black mass,"The agglomeration and encapsulation of recoverable materials of interest (e.g. metals and graphite) as a result of the presence of polyvinylidene fluoride (PVDF) in spent lithium-ion batteries (LIBs) with mixed chemistries (black mass) lower the extraction efficiency of metals. In this study, organic solvents and alkaline solutions were used as non-toxic reagents to investigate the removal of a PVDF binder from a black mass. The results demonstrated that 33.1%, 31.4%, and 31.4% of the PVDF were removed using dimethylformamide (DMF), dimethylacetamide (DMAc), and dimethyl sulfoxide (DMSO) at 150, 160, and 180 Â°C, respectively. Under these conditions, the peel-off efficiencies for DMF, DMAc, and DMSO were 92.9%, 85.3%, and approximately 92.9%, respectively. Using tetrabutylammonium bromide (TBAB) as a catalyst and 5 M sodium hydroxide (NaOH) at room temperature (RT- 21 Â°Câ€“23 Â°C), 50.3% of PVDF and other organic compounds were eliminated. The removal efficiency was enhanced to approximately 60.5% when the temperature was raised to 80 Â°C using NaOH . Using 5 M potassium hydroxide at RT in a TBAB-containing solution, ca. 32.8% removal efficiency was obtained; raising the temperature to 80 Â°C further enhanced the removal efficiency to almost 52.7%. The peel-off efficiency was 100% for both alkaline solutions. Lithium extraction increased from 47.2% to 78.7% following treatment with DMSO and to 90.1% following treatment with NaOH via leaching black mass (2 M sulfuric acid, solid-to-liquid ratio (S/L): 100 g Lâ€“1 at 50 Â°C, for 1 h without a reducing agent) before and after removal of the PVDF binder. Cobalt's recovery went from 28.5% to 61.3% with DMSO treatment to 74.4% with NaOH treatment.",Lithium-ion batteries (LIBs),"agglomeration and encapsulation, DMSO treatment","21 °C–23 °C, 150, 160, 180 °C, 80 °C",metals and graphite,180
