Abstract Number,DOI,Title,Abstract,Battery_Type,Recycling_Process_Used,Process_Conditions/Battery_Properties,Recovered_Materials (from abstract),Final Max Temperature,Recovered Materials,Efficiencies,Type of %,Recovered Element 1,Efficiency 1 (%),Recovered Element 2,Efficiency 2 (%),Recovered Element 3,Efficiency 3 (%),Recovered Element 4,Efficiency 4 (%),Recovered Element 5,Efficiency 5 (%),Total Cost Approx. ($),Total Energy Approx. (J)
4,10.1016/j.wasman.2009.01.008,Vitrification for reclaiming spent alkaline batteries,"The object of this study is to stabilize spent alkaline batteries and to recover useful metals. A blend of dolomite, limestone, and cullet was added to act as a reductant and a glass matrix former in vitrification. Specimens were vitrified using an electrical heating furnace at 1400Â°C and the output products included slag, ingot, flue gas, and fly ash. The major constituents of the slag were Ca, Mn, and Si, and the results of the toxicity leaching characteristics met the standards in Taiwan. The ingot was a good material for use in production of stainless steel, due to being mainly composed of Fe and Mn. For the fly ash, the high level of Zn makes it economical to recover. The distribution of metals indicated that most of Co, Cr, Cu, Fe, Mn, and Ni moved to the ingot, while Al, Ca, Mg, and Si stayed in the slag; Hg vaporized as gas phase into the flue gas; and Cd, Pb, and Zn were predominately in the fly ash. Recovery efficiency for Fe and Zn was >90% and the results show that vitrification is a promising technology for reclaiming spent alkaline batteries.",Alkaline batteries,Vitrification,1400Â°C,Fe and Zn,1400,Iron (Fe)|Zinc (Zn),90|90,recovery efficiency,Fe,90%,Zn,90%,,,,,,,19.42571,0
22,10.1016/j.wasman.2024.07.018,Novel electrochemical process for recycling of valuable metals from spent lithium-ion batteries,"Effective recovery of Li, Co, Ni and Mn from cathode materials of spent lithium-ion batteries (LIBs) has become a global concern. In this study, electrolysis of copper sulfate to produce sulfuric acid and electrons were utilized to recover Li, Co, Ni and Mn from spent LIBs. The obtained results showed that 93 % of Ni, 91 % of Co, 89 % of Mn and 94 % of Li were leached and 99 % of Cu was deposited during leaching process by adopting the 0.225 mol/L of copper sulfate with a solid/liquid ratio of 15 g/L at a current density of 50 mA/m2 and 80 Â°C for 4.5 h. Then, a current efficiency of 72 % for the cathode and 30 % for the anode was achieved at a current density of 40 mA/m2, 70 Â°C and pH 2.5 during electrodeposition process. The Ni-Co deposition followed the principle of anomalous codeposition and the complete deposition time of Co, Ni and Mn were 3 h, 9 h and 10 h, respectively. Eventually, the Ni, Co, Mn, Li and Cu can be recovered as Ni-Co alloy, MnO2 and Li2CO3 and Cu metals with the corresponding recovery rates of 99.40 %, 91.00 %, 90.68 %, 85.59 % and 89.55 %, respectively. This study proposes a promising strategy for recycling cathode materials from spent LIBs without addition of chemical reductants and acids.",Lead Acid Battery,low-temperature thermochemical reduction,"M (SO4 2−: TPb) molar ratio of 1:1, roasting temperature, and time of 340 °C and 1.5 h, respectively","lead, (NH4)2SO4 and (NH4)2CO3",340,Nickel (Ni)|Cobalt (Co)|Manganese (Mn)|Lithium (Li)|Copper (Cu),99.4|91|90.68|85.59|89.55,recovery rate,Ni,99.40%,Co,91%,Mn,90.68%,Li,85.59%,Cu,89.55%,Can't be calculated,Can't be calculated
30,10.1016/j.proenv.2012.10.068,Study on Separation of Cobalt and Lithium Salts from Waste Mobile-phone Batteries,"The metals in waste mobile-phone batteries may cause environmental pollution. In this paper, leaching with H2SO4+H2O2, P507 extraction, and sedimentation with oxalic acid and carbonic acid were used to deal with waste batteries and obtain cobalt and lithium salts by separation, which shows an easy and feasible method with less waste water disposal. The effects of sulphuric acid concentration, pH value, and lithium ions on the recovery were investigated. When the sulphuric acid concentration was over 0.4mol/L, the loss of cobalt increased significantly. If pH value of 3.5 was used, it was easy for cobalt and lithium separation with a low cobalt loss. Over several recycles, the recovery of lithium could reach the maximum with the lithium ion concentration of 27.3g/L. The recovery efficiencies for cobalt and lithium were 90.02% and 86.04%, respectively.",Lead Acid Battery,pyrometallurgical process,"1000 Â°C, 100 min, lead-acid battery",lead,1000,Cobalt (Co)|Lithium (Li),90.02|86.04,recovery efficiency,Co,90.02%,Li,86.04%,,,,,,,Can't be calculated,Can't be calculated
21,10.1016/j.seppur.2023.123156,Recycling lead from waste lead-acid batteries by the combination of low temperature alkaline and bath smelting,"Recycling lead from waste lead-acid batteries has substantial significance in environmental protection and economic growth. Bearing the merits of easy operation and large capacity, pyrometallurgy methods are mostly used for the regeneration of waste lead-acid battery (LABs). However, these processes are generally operated at the temperature higher than 1300 Â°C. To shorten the energy consumption, a novel pyrometallurgy process which consisted of low temperature alkaline and bath smelting was proposed in this work. The reduction of lead and smelting of slag system are the key factors determine the energy consumption. Thermodynamic calculation suggested that the addition of Na2CO3 can make the reduction of PbSO4 spontaneously at the temperature higher than 288 Â°C (PbSO4 â†’ PbCO3 â†’ PbO â†’ Pb), while direct reduction of PbSO4 necessitated the temperature higher than 1499 Â°C (PbSO4 â†’ PbO â†’ Pb). To achieve the efficient reduction of PbSO4, the molar ratios of C/PbSO4 and Na2CO3/PbSO4 should be higher than 0.5 and 1.0, respectively. Meanwhile, a new smelting system (i.e., FeO-SiO2-CaO-Na2O) was established in the presence of Na2CO3. Phases with low melting temperatures, such as NaFe2O3, Na2FeSiO4, Na2Ca2Si2O7, Na14Fe6O16 and Na0.5FeO2, were formed. The melting temperature of Fe-Si-Ca-Na system was lowered to 1050 Â°C at the mass dosage of Na2CO3 at 30%. Recovery of lead under various reduction conditions were systematically evaluated. Under optimum operational conditions, i.e., the dosages of C and Na2CO3 at 10% and m(actual)/m(theory) ratio of 1.3 (all in mass), smelting temperature of 1050 Â°C, and smelting time of 75 min, respectively, the lead recovery efficiency reached >98.0%. Moreover, this method has been successfully applied for the industrial recovery of lead at the scale of 200, 000 tons annually since 2019. Taken together, this method is robust for recovery of lead from the waste LABs and is helpful for building the resource-conserving society.",Lead Acid Battery,low temperature alkaline and bath smelting,"1050 °C, smelting time: 75 min ",lead,1050,Lead (Pb),98,recovery efficiency,Pb,98%,,,,,,,,,4,160494.6
152,10.1016/j.jenvman.2022.115740,A sustainable closed-loop method of selective oxidation leaching and regeneration for lithium iron phosphate cathode materials from spent batteries,"A sustainable closed-loop method for recovering waste lithium iron phosphate batteries is developed in this paper. Li+ was selectively leached from cathode materials in a system of NaHSO4 and H2O2. Under the optimal conditions of leaching temperature of 65 Â°C, 1.1 times molar quantity NaHSO4, 2 vol% H2O2, solid-liquid ratio of 100 g/L and leaching time of 15 min, the leaching efficiency of Li can reach 99.84%, while Fe is only 0.048%. Meanwhile, XRD, FTIR, XPS and TEM analysis were carried out to explore the conversion mechanism in the oxidation leaching process of the original raw and leaching products. Li+ in the filtrate was precipitated with Na2CO3 and converted into Li2CO3. The precipitated salty wastewater can be converted into leaching agent for recycling by adding a certain amount of sulfuric acid. The recycled products are used to synthesize LiFePO4 materials, and regenerated LiFePO4 materials show good electrochemical properties. The discharge capacity displays 141.3 mAhgâˆ’1 at 1C, with the capacity retention rate of 99.4% after 200 cycles. This study provides a sustainable closed-loop process for recycling and reuse of waste LiFePO4 batteries, which promotes resource conservation and environmental protection.",Lithium iron phosphate (LiFePO4) batteries,oxidation leaching,"leaching temperature of 65 Â°C, 1.1 times molar quantity NaHSO4, 2 vol% H2O2, solid-liquid ratio of 100 g/L, leaching time of 15 min",Li2CO3,65,Lithium (Li)|Iron (Fe),99.84|0.048,leaching efficiency,Li,99.84%,Fe,0.05%,,,,,,,36.57572,38036.0448
81,10.1016/j.jece.2023.110407,"Hydrometallurgical recycling of lithium from waste saggar: Studies on influential role of acid/alkaline additives, leaching kinetics and mechanism","Waste recycling has become crucial with the increasing attention paid to environmental rules and the fast-depleting resources of critical elements. Soaring demands for lithium in cathode materials of rechargeable batteries result in a surge in waste saggar after being used in the calcination of cathode precursor. The recycling of lithium from waste saggar is therefore imperative due to the high supply-risk of lithium. Herein, waste saggar composed of various mineral phases (26.26 % LiAlSi4O10 â‰… 0.6 % Li; 6.34 % Li4SiO4 â‰… 1.47 % Li; 0.79 % LiOHâˆ™H2O â‰… 0.13 % Li; 0.03 % Li2CO3 â‰… 0.01 % Li) was leached in water for lithium extraction; while the effects of NaOH, Ca(OH)2, and H2SO4 as potential additives were examined under a wide temperature range of 5â€“80 Â°C. Interestingly, the observed order of leaching efficiency at lower temperature (20 Â°C) H2SO4 > NaOH > Ca(OH)2 was in variance with that at 80 Â°C (NaOH > H2SO4 Ca(OH)2). The apparent activation energy for lithium extraction was determined to be 29.8 kJ/mol using NaOH, 33.8 kJ/mol using Ca(OH)2, and 14.1 kJ/mol using H2SO4, indicating that the overall leaching process follows a mixed-controlled mechanism. The maximum efficiency of 94 % Li-extraction was achieved with NaOH which was used for the precipitation recovery of Li2CO3 of purity above 99 %.",Lithium iron phosphate (LiFePO4) batteries,H3PO4 leaching and precipitation without alkali addition,"H3PO4 concentration of 6 mol L−1, liquid-solid ratio of 7.5 mL g−1, leaching temperature of 75 °C, and leaching time of 180 min, dilution ratio of 3.5, temperature of 90 °C, and crystallization time of 4 h",Fe and P,90,Lithium (Li),94,extraction efficiency,Li,94%,,,,,,,,,501,278531.4
164,10.1016/j.jece.2024.114091,Selective leaching of lithium from mixed spent lithium iron phosphate powder,"In recent years, lithium iron phosphate (LFP) batteries have been widely used in the electric vehicle industry. The recycling of spent LFP will be propitious to conserving resources and alleviating the environmental risks it poses. In this study, a selective extraction method for lithium from spent LFP was proposed using nitric acid. Lithium leached into the liquid phase, while P and Fe remained in the leaching residue. Under the conditions of 120Â°C, HNO3/Li molar ratio of 2, and time of 2â€¯h, the leaching efficiency of lithium reached 99.5â€¯%, with a selectivity reaching 82.1â€¯%. Initially, LFP was decomposed to liberate Li, Fe, and P in the liquid phase. Subsequently, ferrous ions were oxidized to trivalent, high-valent iron ions re-precipitated as FePO4Â·2â€¯H2O. Thermodynamic calculations indicate that the temperature and pH value of the extraction system have significant influence on both the oxidation and reprecipitation steps. An imbalance of Fe/P ratio (<1) in the raw material hinders the selectivity of lithium extraction, and supplementing this portion of Fe can enhance the selectivity to over 90â€¯%. Additionally, LiCO3 and anhydrous FePO4 were effectively regenerated from the leachate and residue. This study provides a novel approach for the recycling of spent LFP and probably contributes to the sustainability of the lithium ion battery industry.",Lithium iron phosphate (LiFePO4) batteries,Selective extraction method using nitric acid,"120Â°C, HNO3/Li molar ratio of 2, time of 2â€¯h",,120,Lithium (Li),95,leaching efficiency,Li,95%,,,,,,,,,417.5,402135
10,10.1016/j.cej.2021.133232,Closed-loop regeneration of battery-grade FePO4 from lithium extraction slag of spent Li-ion batteries via phosphoric acid mixture selective leaching,"FePO4 regeneration from lithium extraction slag (LES) is a key link in the closed-loop recycling of LiFePO4, but this link has not yet been effectively achieved. This study presents a selective leaching treatment for removing impurities from LES, and then the battery-grade FePO4 is recovered. The leaching efficiency of impurity elements such as Ni, Cu, and Mn can reach up to 99.53%, 98.08%, and 97.65%, respectively, while the main element of Fe and P remain as low as 0.3% and 1.6%, and recovered FePO4 (R-FePO4) conformed to China Chemical Industry Standard for battery-grade FePO4 (HG/T 4701â€“2014). The leaching experiment shows that H3PO4 treatment contributes to obtaining excellent crystalline FePO4, while the addition of HCl mainly enhanced the leaching performance of metal impurities. The optimal conditions for recovering battery-grade FePO4 were: 1.5 mol/L H3PO4, H3PO4/HCl molar ratio of 3:1, a liquidâ€“solid ratio of 10 mL/g, leaching at 90 Â°C for 3 h. The thermodynamics of the leaching reactions was analyzed to determine the feasibility of leaching impurities and crystallizing FePO4 from LES. The composition and structure of the regenerated FePO4 were restored, and the electrochemical performance reached the same level as commercial materials. In addition, the cost of R-FePO4 is calculated to be $1.35 kgâˆ’1, which is about 32.5% lower than the cost of commercial FePO4 (C-FePO4, $2.0 kgâˆ’1). This work presents a potential â€œwaste-to-wealthâ€ approach to guide the efficient and environmentally friendly recycling of spent Li-ion batteries (LIBs).",Lithium-ion batteries (LIBs),"electrolysis, leaching process","solid/liquid ratio of 15 g/L at a current density of 50 mA/m2 and 80 °C for 4.5 h, current density of 40 mA/m2, 70 °C and pH 2.5","Li, Co, Ni and Mn",80,Nickel (Ni)|Copper (Cu)|Manganese (Mn)|Iron (Fe)|Phosphorus (P),99.53|98.08|97.65|0.3|1.6,leaching efficiency,Ni,99.53%,Cu,98.08%,Mn,97.65%,Fe,0.30%,P,1.60%,7.21575,26191.188
144,10.1016/j.susmat.2024.e01043,Synergetic recycling of permanent magnet and Li-ion battery cathode material for metals recovery,"Rare earth elements (REEs)-based (NdFeB) magnets and lithiumâˆ’ion batteries (LIBs) are critical for a lowâˆ’carbon economy. Their production depends on critical elements like REEs, Li, Co and Ni. Recycling of these products have been explored separately as a potential solution. Conventional methods for recycling NdFeB magnets and LIBs face challenges like high energy consumption, lengthy processing, excessive reagent usage, and waste generation. In this study, a novel synergetic recycling methodology is proposed to minimize these challenges. The idea is based on using waste ferrous sulfate solution generated during magnet leaching as a reducing and leaching reagent for battery recycling thereby eliminating the need for additional reagents for oxidation of iron in NdFeB and reduction of cathode material in LIBs. The magnet is leached in diluted H2SO4 at 70 Â°C followed by double sulfate precipitation for REEs with Na2SO4. The REE-depleted but acidic ferrous solution is then used for reductive leaching of cathode material at 90 Â°C. The overall recovery rates of REEs, Li, Co, Ni, and Mn in this process are >95%. The iron from magnet material is recovered as crystalline and easily-filterable iron compound that can be converted to goethite and used as a byproduct. This synergetic approach not only reduces reagent consumption and waste generation aligning with the principles of circular economy but also offers improved efficiency, resource conservation, and environmental sustainability.",Lithium-ion batteries (LIBs),leaching with diluted H2SO4,"70 Â°C, diluted H2SO4, 90 Â°C","iron, REEs, Li, Co, Ni, Mn",90,Lithium (Li)|Cobalt (Co)|Nickel (Ni)|Manganese (Mn)|Rare Earth Elements (REEs),95|95|95|95|95,recovery rate,Li,95%,Co,95%,Ni,95%,Mn,95%,REEs,95%,148.93333,71565.08333
31,10.1016/j.jclepro.2018.03.069,Recovery of valuable materials from spent lithium-ion batteries by mechanical separation and thermal treatment,"In this paper, a mechanical separation and thermal treatment process is developed to recover valuable metals and graphite from the âˆ’0.25â€¯mm crushed products of spent lithium-ion batteries (LiBs). Effect of key parameters for roasting such as the temperature and roasting time are investigated to determine the most efficient conditions for surface modification of the mixed electrode materials by roasting. The roasted mixed electrode materials are separated by flotation operation to recover the cathode material and anode materials respectively. The results show that most of the organic outer layer coated on the surface of the mixed electrode materials can be removed at the temperature of 450â€¯Â°C for 15â€¯min. After roasting treatment, the original wettability of LiCoO2 and graphite is regained. The âˆ’0.25â€¯mm crushed products of spent LiBs can be separated into LiCoO2 concentrate and graphite concentrate by flotation process efficiently. The enrichment ratios of Co, Mn, Cu and Al are 1.35, 1.29, 1.25 and 1.19, their recovery rates are 97.66%, 93.66%, 90.14% and 86.29%, respectively. This process proposed for the recovery of valuable materials is simple and of high efficient for the spent lithium-ion batteries recycling industry.",Lithium-ion batteries (LIBs),"roasting, flotation","450 Â°C, 15 min","LiCoO2, graphite",450,Cobalt (Co)|Manganese (Mn)|Copper (Cu)|Aluminium (Al),97.66|93.66|90.14|86.29,recovery rate,Co,97.66%,Mn,93.66%,Cu,90.14%,Al,86.29%,,,49.74874,205623.6178
