,DOI,Title,Abstract,Extracted Dictionary,Prediction,,
0,10.1016/j.hydromet.2008.04.012,Leaching of waste battery paste components. Part 1: Lead citrate synthesis from PbO and PbO2,"In this study, as part of developing a new process which can avoid smelting and electro-winning, citric acid based reagents in aqueous media were reacted with PbO and PbO2. These two oxides are important components in the spent lead-acid battery paste and together account for up to 50% of the paste by weight. PbSO4, the main component in a spent battery paste accounting for the remaining 50%, is dealt with in Part 2 in a separate paper. Reaction between PbO and C6H8O7·H2O or PbO2 with a mixture of C6H8O7·H2O and H2O2 yielded lead citrate, Pb(C6H6O7)·H2O, which was characterised by XRD, SEM and FT-IR analysis. Optimal synthesis conditions were determined by investigating the effect of time, temperature, concentration, and the starting Pb oxide/water ratio. The optimal condition for leaching a mol of PbO at room temperature (20 °C) was found to be: 1 mol of (C6H8O7)·H2O solution; 1/3 as the starting PbO/water ratio and 15 min of reaction time. Pure citrate product, Pb(C6H6O7)·H2O was rapidly crystallized from the solution, in the leaching process. Leaching of PbO2 required the use of a mild reducing agent. For each mole of PbO2, the optimum condition at 20 °C was found to be: a solution containing 4 mol of C6H8O7·H2O and 2 mol of H2O2; 1/5 as the starting solid PbO2/water ratio; and 60 min of reaction time. The product, as with PbO, was pure Pb(C6H6O7)·H2O compound. The remaining lead content of the filtrate solution was 0.017% and 1% corresponding to recoveries of 99.98% and 99% of lead as citrate, after the leaching/crystallization/filtration process with PbO and PbO2, respectively. Asymmetric stretching vibrations between 1599 and 1662 cm−1, whereas symmetric vibrations between 1520 and 1327 cm−1 for lead citrate synthesised from PbO and asymmetric stretching vibrations between 1600 and 1642 cm−1 as well as symmetric vibrations between 1517 and 1326 cm−1 for the product obtained from PbO2 revealed the strong IR adsorptions associated with a carboxylate structure. XRD data was identical to the well documented crystalline Pb(C6H6O7)·H2O compound from both the oxides. SEM revealed the formation of plate/sheet like morphologies. The difference in the column size of the Pb(C6H6O7)·H2O formed from the two lead oxides can be related to difference in the rate of the respective reactions.","{'Battery_Material/Battery_Type': ['PbO', 'PbO2', 'Lead Acid Battery'], 'Recycling_Process_Used': ['XRD', 'SEM and FT-IR analysis', 'leaching', 'crystallization', 'filtration'], 'Process_Conditions/Battery_Properties': ['20 °C', 'reaction time: 15 min'], 'Recovered_Materials': ['Lead Citrate', 'Pb(C6H6O7)·H2O']}","{'Battery_Material/Battery_Type': ['lithium-ion batteries'], 'Recycling_Process_Used': ['leaching process'], 'Process_Conditions/Battery_Properties': ['temperature: 80 °C', 'pH: 1.5', 'and leaching time: 30 min'], 'Recovered_Materials': ['Li2CO3']}
",250,FALSE
1,10.1016/j.ceja.2023.100582,Recovery of NixMnyCoz(OH)2 and Li2CO3 from spent Li-ionB cathode leachates using non-Na precipitant-based chemical precipitation for sustainable recycling,"The interest in recycling spent lithium-ion batteries (Li-ionB) has surged due to the rising demand for valuable metals (e.g., Co, Ni, Li and Mn) and concerns about environmental repercussions emanating from conventional battery waste disposal. Conventional precipitation-based hydrometallurgy recycling processes utilise Na-based or metal-based precipitants. The Na, from Na-based precipitants, is present in high concentrations in the process effluent since they are not recovered during the recycling process. The Na-rich effluent cannot be discarded since it doesn't meet environmental regulations as per the U.S. Environmental Protection Agency (EPA) (2023) therefore creating a storage and disposal problem. It is therefore imperative to utilise non-Na-based precipitants to eliminate the effluent disposal problem. This paper focuses on the recovery of NixCoyMnz(OH)2 and Li2CO3, main precursors for Li-ionB cathode production, from a typical spent Li-ionB cathode (NMC 532) using non-Na precipitant-based chemical precipitation. This study reports NixCoyMnz(OH)2 and Li2CO3 recovery from spent Li-ionBs for closed-loop Li-ionB cathode recycling through an integrated hydrometallurgy and chemical precipitation process. Through the utilisation of leachate solutions comprising 2 M H2SO4 + 6 vol.% H2O2, and a 75 g/L S/L ratio and conducting leaching for 120 min at a temperature of 60 °C and IS of 350 rpm, the recovery efficiency of 98.1 % for Li, 97.1 % for Co, 96.1 % for Ni, and 95.7 % for Mn. The pH of the NMC leachate was initially adjusted to 5 to precipitate Fe, Al and Cu impurities. Thereafter, active metal species (Ni, Mn and Co) were precipitated at a pH of 13 as Ni0.5Co0.2Mn0.3(OH)2 composite microparticles by adding LiOH precipitant. Thereafter, the Li-rich resultant liquor was further used to recover the Li by adding 3.4 mol of CO2 bubbled at 0.068 mol (CO2)/L.min and 40 °C for 45 min. The Li2CO3 precipitates were separated from the suspension through filtration followed by washing using deionised water and hot air drying. The reaction time is 45 mins, and the agitation speed is 150 rpm. Through this multi-stage precipitation process, >98 % of Ni, Co, Mn and > 91 % of Li can be recovered in the form of Ni0.5Mn0.3Co0.2(OH)2 and Li2CO3 respectively. The process exhibits great potential for recovery of valuable materials from spent Li-ionBs. The recovered Ni0.5Co0.2Mn0.3(OH)2 and Li2CO3 materials will be used as precursors in the anhydrous NMC cathode production process.","{'Battery_Material/Battery_Type': ['Lithium-ion batteries (LIBs)'], 'Recycling_Process_Used': ['Precipitation-based hydrometallurgy'], 'Process_Conditions/Battery_Properties': ['60 °C', 'reaction time: 120 min', '350 rpm IS'], 'Recovered_Materials': ['NixCoyMnz(OH)2', 'Li2CO3']}","{'Battery_Material/Battery_Type': ['Lithium-ion batteries (Li-ionB)'], 'Recycling_Process_Used': ['leaching-solvent extraction-electrowinning (SX/EW)'], 'Process_Conditions/Battery_Properties': ['2 M H2SO4 + 6 vol.% H2O2', '75 g/L S/L ratio', 'temperature of 60 °C and IS of 350 rpm', 'pH of 5', 'pH of 13', '45 min', '150 rpm'], 'Recovered_Materials': ['NixCoyMnz(OH)2 and Li2CO3']}
",385,TRUE
2,10.1016/j.jallcom.2024.176376,Chemistry evolution of LiFePO4-NaHSO4·H2O system during roasting and recovery of Li and Fe,"LiFePO4 batteries are extensively utilized in new energy vehicles and energy storage applications. The recycling and utilization of spent LiFePO4 cathode materials have emerged as a new focus in the power battery industry, and have garnered widespread attention since the trend of power battery retirement continues. This article delves into the chemical transformations in the LiFePO4-NaHSO4·H2O system during roasting-water leaching to recover Li and Fe. Characterization techniques like thermogravimetric-differential scanning calorimetry (TG-DSC), X-ray diffraction (XRD), X-ray photoelectron spectroscopy (XPS), and inductively coupled plasma-atomic emission spectrometry (ICP-AES) were used for analysis. The LiFePO4 and NaHSO4·H2O mixture with a 1:1.6 molar ratio exhibited significant endothermic and exothermic phenomena within the 25–600 °C temperature range. With increased roasting temperatures, elements Li, Fe, and P underwent the following chemical evolution pathways: Li: LiFePO4 → LiNaSO4 + Li3PO4 → LiNaSO4 + Li3Fe2(PO4)3 → LiNaSO4, Fe: LiFePO4 → FeSO4·H2O + Fe3(PO4)2 → Fe3(PO4)2 + Li3Fe2(PO4)3 → Li3Fe2(PO4)3 + NaFeP2O7 → NaFeP2O7 + Fe2(SO4)3, and P: LiFePO4 → Fe3(PO4)2 + Li3PO4 → Fe3(PO4)2 + Li3Fe2(PO4)3 → Li3Fe2(PO4)3 + NaFeP2O7 → NaFeP2O7. The element occurrence form in the roasting products influences the leaching rates of Li and Fe. Although the Fe leaching rate decreased from 27.64 % to 0.56 % as the roasting temperature rose from 200 to 600 °C, the Li leaching rate remained between 86.43 % and 98.40 %.","{'Battery_Material/Battery_Type': ['LiFePO4'], 'Recycling_Process_Used': ['roasting-water leaching'], 'Process_Conditions/Battery_Properties': ['25 °C-600 °C'], 'Recovered_Materials': ['Li', 'Fe']}","{'Battery_Material/Battery_Type': ['Lithium-ion batteries'], 'Recycling_Process_Used': ['leaching-solvent extraction', 'and', 'alkaline leaching'], 'Process_Conditions/Battery_Properties': ['alkaline solution', 'pH 12.0', 'H2SO4 concentration 2.0 mol/L', 'and', '200 °C'], 'Recovered_Materials': ['lithium and manganese']}
",324,FALSE
3,10.1016/j.cej.2021.132703,A promising regeneration of waste carbon residue from spent Lithium-ion batteries via low-temperature fluorination roasting and water leaching,"Recycling and reusing the Waste carbon residue (WCR) from spent lithium-ion batteries has substantial significance in environmental protection and economic growth. Nevertheless, research on the regeneration of WCR was seldom reported. Herein, a new environmentally friendly process of low-temperature fluorination roasting and water leaching technology were proposed to achieve optimal purification of WCR. And the transformation mechanism of water-soluble complex ions during fluorination roasting was investigated via DFTB indicating that the ionic bond of F and NH4 group in NH4F broken than form stable covalent bond with metal ions. This process showed that 99.59%, 99.54%, 99.82%, 96.38%, 98.41%, 97.28%, 99.23%, and 98.61% of cobalt, nickel, manganese, aluminum, silicon, iron, lithium, and sulfur in WCR could be removed under optimal conditions. Meanwhile, the high-Purity graphite carbon (PGC) products with purity of 99.98% were obtained. In particular, PGC in half-cell exhibited a stable specific capacity of 340.9 mAh/g and high ICE of 92.13%, and with a more than 96% capacity retention after 100 cycles at 1C, much better performance than WCR and similarly to commercial graphite. Moreover, the discharge capacity of PGC in full-cell was 2302.82 mAh at 0.2C rate with 87.3% ICE. The capacity retention maintained at 96% after 400 cycles at 1C/1C rate. Subsequently, the valuable components in leaching solution were recovered with ammonia as precipitant. The precipitation rates of Al, Co, Mn, Ni, and Si were 99.25%, 81.74%, 98.20%, 62.43% and 86.68%, respectively. Besides, exhaust gas was absorbed in fluorine-containing leachate for recovery of ammonium fluoride products by evaporation crystallization. This proposed process with circular economy and green chemistry characteristics is expected to be employed in the regeneration of WCR while recovering valuable components.","{'Battery_Material/Battery_Type': ['Lithium-ion batteries (LIBs)'], 'Recycling_Process_Used': ['low-temperature fluorination roasting', 'water leaching technology', 'evaporation crystallization'], 'Process_Conditions/Battery_Properties': ['Half-cell: 340.9 mAh/g', '92.13% ICE', 'Full-cell: 2302.82 mAh', '0.2C rate', '87.3% ICE'], 'Recovered_Materials': ['Al', 'Co', 'Mn', 'Ni', 'Si', 'high-Purity graphite carbon (PGC)', 'ammonium fluoride']}","{'Battery_Material/Battery_Type': ['lithium-ion batteries'], 'Recycling_Process_Used': ['roasting-leaching process'], 'Process_Conditions/Battery_Properties': ['temperature of 400 °C', 'time of 2 h', 'and pulp density of 250 g/L'], 'Recovered_Materials': ['graphite']}
",270,FALSE
4,10.1016/j.jclepro.2024.140798,Sustainable regeneration of high-performance cathode materials from spent lithium-ion batteries through magnetic separation and coprecipitation,"Extensive research and application of recycling methods for spent lithium-ion batteries (LIBs) have been undertaken in recent years with great success. However, the separation of valuable metals from the lixivium of spent LIBs, which contains Al, Cu, Ni, Co, Mn, and Li, is complicated, burdensome, and unsustainable. Therefore, there is a need to establish a more sustainable and energy-efficient method for recycling spent LIBs. The study introduced an innovative methodology for replacing the impurity ion removal process in the lixivium with magnetic separation pretreatment. Then, the co-precipitation method was used to directly resynthesize LiNi0.5Co0.2Mn0.3O2 (LNCM523) with recovered metals as raw materials. The results demonstrate that, with a magnetic field intensity of 3000 Oe and feed particle size of −0.074 mm, the magnetic separation concentrates the following grades: Ni-26.34%, Co-14.26%, Mn-28.30%, Al-0.23%, and Cu-0.41%. The corresponding recovery rates were also determined as follows: Ni-92.57%, Co-94.16%, Mn-85.68%, Al-1.62%, and Cu-2.14%. The total impurities (Al, Cu, and Fe) in the lixivium obtained by magnetic separation concentrate under conventional acid leaching conditions were below 0.05 wt%, while the contents of Ni, Co, and Mn were measured at 13.08 g/L, 7.10 g/L, and 14.06 g/L, respectively. Spherical LNCM523 was successfully regenerated from the lixivium through co-precipitation and sintering. The LNCM523 demonstrated exceptional electrochemical performance, exhibiting a notable initial discharge capacity of 173.9 mAh/g at 0.2 C and remarkable cycling stability with 91.9% retention over 100 cycles at 0.5 C. In comparison to the conventional approach, this method circumvented the intricate procedure of separating metal ions, thereby realizing the resource regeneration of cathode materials and enabling a closed-circuit recycling process. These advancements contributed to fostering sustainable low-carbon development of the spent LIBs.","{'Battery_Material/Battery_Type': ['Lithium-ion batteries (LIBs)'], 'Recycling_Process_Used': ['magnetic separation pretreatment', 'co-precipitation'], 'Process_Conditions/Battery_Properties': ['magnetic field intensity: 3000 Oe', 'feed particle size: 0.074 mm'], 'Recovered_Materials': [' Al', 'Cu', 'Ni', 'Co', 'Mn', 'Li', 'LiNi0.5Co0.2Mn0.3O2 (LNCM523)']}","{'Battery_Material/Battery_Type': ['lithium-ion batteries (LIBs)'], 'Recycling_Process_Used': ['acid leaching', 'co-precipitation', 'sintering'], 'Process_Conditions/Battery_Properties': ['3000 Oe', '−0.074 mm', '13.08 g/L', '7.10 g/L', '14.06 g/L', '0.2 C', '0.5 C'], 'Recovered_Materials': ['LiNi0.5Co0.2Mn0.3O2 (LNCM523)']}
",329,FALSE
5,10.1016/j.rineng.2024.102802,Optimization of high-temperature thermal pretreatment conditions for maximum enrichment of lithium and cobalt from spent lithium-ion polymer batteries,"Due to their increasingly high demand, lithium-ion batteries (LIBs) will encounter a scarcity of essential resources if recycling is not prioritized. The current pretreatment methods for spent LIBs used in industrial production are inefficient, costly, and hazardous. The study aimed to maximize the yield of lithium and cobalt from the black mass of spent Lithium-ion batteries through an optimized high-temperature thermal pretreatment process, which combined mechanical (direct crushing) and thermal treatments to facilitate the subsequent recovery of these valuable metals. Sieve analysis showed that direct crushing for 2 min resulted in 40.81 % of the anode material in the 4750 + 2500 μm size range, while 5 min of crushing led to a more even distribution, with 28.57 % in the smallest size range (−75 μm). Heat treatment followed by 2 min of crushing concentrated 52.38 % of the anode material in the 4750 + 2500 μm range. For the cathode material, 2 min of direct crushing distributed 24.49 % in the −2500 + 1250 μm range, while 5 min of crushing accumulated 38.80 % in the −75 μm range. Heat treatment and 2 min of crushing resulted in 56.05 % of the cathode material in the −75 μm range, indicating improved liberation. The combination of heat treatment and mechanical treatment effectively liberates and reduces the size of the active materials, resulting in a higher cumulative mass fraction of finer particles (≤630 μm). Heat treatment at 600 °C for 15 min, followed by 2 min of crushing, dissociated current collectors (Al) from the cathode material, minimized the harmful gas emissions and produced fine particles (630 μm) with minimal Al content (0.8 wt%). The optimal heat treatment condition of 600 °C for 35 min achieved complete decomposition of PVDF and enriched 73.49 wt% cobalt and 5.41 wt% lithium in the black mass, superior to previous studies.","{'Battery_Material/Battery_Type': ['Lithium-ion batteries (LIBs)'], 'Recycling_Process_Used': ['optimized high-temperature thermal pretreatment ', 'mechanical (direct crushing)', 'thermal treatment'], 'Process_Conditions/Battery_Properties': ['600 °C for 35 min', '2 min: crushing'], 'Recovered_Materials': ['lithium', 'cobalt ']}","{'Battery_Material/Battery_Type': ['Lithium-ion batteries (LIBs)'], 'Recycling_Process_Used': ['Optimized high-temperature thermal pretreatment process'], 'Process_Conditions/Battery_Properties': ['2 min of crushing'], 'Recovered_Materials': ['cobalt and lithium']}
",266,FALSE
6,10.1016/j.cep.2021.108507,Process intensification for valuable metals leaching from spent NiMH batteries,"Acid leaching is an essential unit in hydrometallurgy, yet it is time consuming and requires concentrated acids. Process intensification is examined for the leaching of valuable and rare earth elements (REEs), such as Ni, Co, La, Nd, and Ce, from spent nickel metal hydride (NiMH) batteries using subcritical water extraction (SWE) and microwave-assisted extraction (MAE). Results of SWE revealed that HCl performed better than H2SO4 and HNO3. Leaching efficiency increased as reaction temperature increased from 100 to 150°C, and it increased with HCl concentration. SWE was very effective using 0.5 N HCl, solid concentration of 20 g/L, initial pressure of 9.8 bar, 100°C for 5 min, and leaching efficiency of 99.85% for Ni, 91.72% for Co, 96.26% for La, 85.75% for Nd, and 84.37% for Ce was found, and the total energy consumption was 2,640 kJ. Leaching efficiency of MAE using 0.5 N HCl decreased slightly when heating rate increased from 30 to 70°C/min, and it increased as reaction time increased from 5 to 30 min. Compared with SWE and conventional leaching, MAE was the most energy-efficient, and total of 874.1 kJ was required to reach 85.93% for Ni, 77.60% for Co, 64.04% for La, 75.01% for Nd, and 57.17% for Ce, respectively under experimental conditions of 1 N of HCl, solid concentration of 20 g/L, 100°C for 5 min. Novel acid leaching methods showed promising potential for metals recovery from e-waste.","{'Battery_Material/Battery_Type': ['nickel metal hydride (NiMH) batteries'], 'Recycling_Process_Used': ['subcritical water extraction (SWE)', 'microwave-assisted extraction (MAE)'], 'Process_Conditions/Battery_Properties': ['0.5 N HCl', 'solid concentration: 20 g/L', 'initial pressure: 9.8 bar', '100°C-150°C for 5 min'], 'Recovered_Materials': ['Ni', 'Co', 'La', 'Nd', 'Ce']}","{'Battery_Material/Battery_Type': ['Lithium-ion batteries (LIBs)'], 'Recycling_Process_Used': ['Leaching of spent lithium-ion batteries'], 'Process_Conditions/Battery_Properties': ['H2SO4: H2O molar ratio of 1:1.5', 'pH of 1.5', 'and leaching temperature of 80 °C'], 'Recovered_Materials': ['lithium', 'cobalt', 'manganese', 'aluminum', 'iron', 'and graphite']}
",363,TRUE
7,10.1016/j.jece.2024.113521,Recovery of valuable metal elements from spent lithium-ion battery via a low temperature ammonium persulfate roasting approach,"A low-cost and eco-friendly recycling method is crucial for recovering valuable elements from end-of-life lithium-ion batteries (LIBs), which plays a vital role in addressing resource scarcity and reducing the environmental impact. This study aims to develop a low-temperature pyro-metallurgical combined process to recycle spent LiNi0.5Co0.2Mn0.3O2 (NCM523). Unlike traditional pyrometallurgy methods that generate liquid alloys and slags at temperatures exceeding 1000 °C, the (NH4)2S2O8 roasting approach operates at 350 °C and converts NCM523 to water-soluble sulfates, exhibiting remarkable leaching efficiencies of Li, Ni, Co, and Mn, with values of 99.43 %, 99.87 %, 98.88 %, and 99.19 %, respectively. Systematic studies were conducted to investigate the influence of roasting temperature, (NH4)2S2O8-to-NCM mass ratio, and roasting time on the sulfation process. Furthermore, the mechanism of sulfation reaction was identified by combining experiments with thermodynamic calculation. At temperatures above 160 °C, (NH4)2S2O8 decomposes into (NH4)2S2O7, which reacts with NCM. Lithium in a layered structure forms Li2SO4, while transition elements form MnSO4, Li2Co (SO4)2, and NiSO4. At around 350 °C, (NH4)2S2O8 further decomposes into NH4HSO4, releasing SO2 and NH3. SO2 reacts with remaining NCM or unsulfated transition metal oxides, converting them into MnSO4, Li2Co (SO4)2, and NiSO4. Above 800 °C, the metal sulfates decompose into stable oxides. This study presents a low-temperature sulfation method that effectively disintegrates the crystal structure of lithium metal oxides without the need for acids or reducing agents.","{'Battery_Material/Battery_Type': [' lithium-ion batteries (LIBs)', 'LiNi0.5Co0.2Mn0.3O2 (NCM523)'], 'Recycling_Process_Used': ['low-temperature pyro-metallurgical combined process'], 'Process_Conditions/Battery_Properties': ['350 °C'], 'Recovered_Materials': ['water-soluble sulfates', 'NH4HSO4']}","{'Battery_Material/Battery_Type': ['Lithium-ion batteries (LIBs)'], 'Recycling_Process_Used': ['low-temperature pyro-metallurgical combined process'], 'Process_Conditions/Battery_Properties': ['350 °C'], 'Recovered_Materials': ['lithium (Li), nickel (Ni), cobalt (Co), manganese (Mn)']}
",288,FALSE
8,10.1016/j.seppur.2023.123156,Recycling lead from waste lead-acid batteries by the combination of low temperature alkaline and bath smelting,"Recycling lead from waste lead-acid batteries has substantial significance in environmental protection and economic growth. Bearing the merits of easy operation and large capacity, pyrometallurgy methods are mostly used for the regeneration of waste lead-acid battery (LABs). However, these processes are generally operated at the temperature higher than 1300 °C. To shorten the energy consumption, a novel pyrometallurgy process which consisted of low temperature alkaline and bath smelting was proposed in this work. The reduction of lead and smelting of slag system are the key factors determine the energy consumption. Thermodynamic calculation suggested that the addition of Na2CO3 can make the reduction of PbSO4 spontaneously at the temperature higher than 288 °C (PbSO4 → PbCO3 → PbO → Pb), while direct reduction of PbSO4 necessitated the temperature higher than 1499 °C (PbSO4 → PbO → Pb). To achieve the efficient reduction of PbSO4, the molar ratios of C/PbSO4 and Na2CO3/PbSO4 should be higher than 0.5 and 1.0, respectively. Meanwhile, a new smelting system (i.e., FeO-SiO2-CaO-Na2O) was established in the presence of Na2CO3. Phases with low melting temperatures, such as NaFe2O3, Na2FeSiO4, Na2Ca2Si2O7, Na14Fe6O16 and Na0.5FeO2, were formed. The melting temperature of Fe-Si-Ca-Na system was lowered to 1050 °C at the mass dosage of Na2CO3 at 30%. Recovery of lead under various reduction conditions were systematically evaluated. Under optimum operational conditions, i.e., the dosages of C and Na2CO3 at 10% and m(actual)/m(theory) ratio of 1.3 (all in mass), smelting temperature of 1050 °C, and smelting time of 75 min, respectively, the lead recovery efficiency reached >98.0%. Moreover, this method has been successfully applied for the industrial recovery of lead at the scale of 200, 000 tons annually since 2019. Taken together, this method is robust for recovery of lead from the waste LABs and is helpful for building the resource-conserving society.","{'Battery_Material/Battery_Type': ['lead-acid battery (LABs)'], 'Recycling_Process_Used': ['low temperature alkaline and bath smelting'], 'Process_Conditions/Battery_Properties': ['1050 °C', 'smelting time: 75 min '], 'Recovered_Materials': ['lead']}","{'Battery_Material/Battery_Type': ['Lithium-ion batteries (LIBs)'], 'Recycling_Process_Used': ['microwave-assisted leaching'], 'Process_Conditions/Battery_Properties': ['microwave power: 1000 W', 'duty cycle: 30 s/min', 'leaching time: 60 min', 'pH: 2.0', 'H2SO4 concentration: 1.0 M', 'Na2CO3 concentration: 1.0 M', 'NH4Cl concentration: 1.0 M', 'FeSO4 concentration: 1.0 M', 'NiSO4 concentration: 1.0 M', 'CuSO4 concentration: 1.0 M', 'MnSO4 concentration: 1.0 M', 'CoSO4 concentration: 1.0 M', 'Li2CO3 concentration: 1.0 M', 'H2O2 concentration: 1.0 M', 'H2O concentration: 1.0 M'], 'Recovered_Materials': ['LiCoO2', 'LiNi1/3Co1/3Mn1/3O2', 'LiNi1/3Mn1/3Co1/3O2', 'LiNi1/3Co1/3Mn1/3O2', 'LiCuO', 'LiNi1/3Co1/3Mn1/3O2', 'LiNi1/3Co1/3Mn1/3O2', 'LiCuO', 'LiNi1/3Co1/3Mn1/3O2', 'LiNi1/3Co1/3Mn1/3O2', 'LiCuO', 'LiNi1/3Co1/3Mn1/3O2', 'LiNi1/3Co1/3Mn1/3O2', 'LiCuO', 'LiNi1/3Co1/3Mn1/3O2', 'LiNi1/3Co1/3Mn1/3O2', 'LiCuO', 'LiNi1/3Co1/3Mn1/",935,TRUE
9,10.1016/j.jpowsour.2014.03.006,Recycling of the anode from spent Ni-MH batteries for synthesis of the lanthanide oxysulfide/oxysulfate compounds used in an oxygen storage and release system,"In this work, lanthanide oxysulfide/oxysulfate compounds, denominated as an oxygen storage and release system, have been synthesized from the anode electrodes of spent Ni-MH batteries. The rare earth metals have recovered by means of chemical precipitation as a mixture of La2(SO4)3, Ce2(SO4)3, and Nd2(SO4)3. The synthesis of (La·Nd)O2S·CeO2 have been carried out by subjecting a mixture of La2(SO4)3, Ce2(SO4)3, and Nd2(SO4)3 to a heat treatment in a reducing atmosphere up to 1000 °C. The (La·Nd)O2SO4·CeO2 compounds have been obtained after thermal treatment of (La·Nd)O2S·CeO2 in a synthetic air atmosphere. The oxysulfide/oxysulfate compounds have been subjected to thermal cycles, respectively, in synthetic air as well as in an N2–CO atmosphere. The thermogravimetric plot (TG) for (La·Nd)2O2S·CeO2 shows a mass gain of 14.98% w/w in a temperature range of 300–550 °C, which is due to the oxidation of (La·Nd)2O2S·CeO2 to (La·Nd)2O2SO4CeO2, where 2 mol of O2 are added. Likewise, in the (La·Nd)2O2SO4CeO2 thermogravimetric plot, a mass loss of 17.16% w/w is observed in the range of 500–750 °C. This loss of mass can be associated with output of 2 mol of O2 forming again the (La·Nd)2O2S·CeO2. The transformation of the (La·Nd)2·O2S·CeO2 to (La·Nd)2O2SO4CeO2 causes an increase in the macropores.","{'Battery_Material/Battery_Type': ['Ni-MH batteries'], 'Recycling_Process_Used': ['chemical precipitation', 'thermal treatment'], 'Process_Conditions/Battery_Properties': ['1000 °C'], 'Recovered_Materials': ['rare earth metals']}","{'Battery_Material/Battery_Type': ['lithium-ion batteries'], 'Recycling_Process_Used': ['solvent extraction', 'hydrometallurgical leaching', 'and solid-liquid separation'], 'Process_Conditions/Battery_Properties': ['pH 1.5', 'and 30 °C'], 'Recovered_Materials': ['lithium', 'manganese', 'cobalt', 'and nickel']}
",313,FALSE
